priority,category,channel,complexity_score,response_time_hours,resolution_time_hours,previous_tickets,customer_tenure_months,customer_age,sla_breach,escalated
Low,Security Breach,Email,1,19.97,97.13,1,18,44,0,0
Urgent,Login Issue,Chat,9,1.13,14.39,3,45,25,1,1
High,Payment Problem,Portal,7,2.49,20.84,2,5,42,0,0
High,Data Loss,Email,7,7.0,57.75,0,5,39,1,1
Medium,Security Breach,Email,6,23.19,77.6,4,7,41,1,0
Low,Performance Issue,Chat,2,62.76,284.12,4,9,61,1,0
High,Security Breach,Phone,6,0.82,17.49,1,63,52,0,0
Medium,Login Issue,Chat,6,17.36,81.57,3,57,62,1,0
Low,Integration Failure,Chat,4,19.43,39.96,7,59,63,0,0
High,Payment Problem,Phone,8,2.44,18.78,2,36,20,0,0
Low,Payment Problem,Email,3,38.18,282.06,1,63,27,1,0
Medium,Feature Request,Phone,5,24.55,91.93,1,13,65,1,0
Medium,Billing Dispute,Email,6,22.39,79.87,5,19,32,1,0
Low,Performance Issue,Chat,4,61.45,207.85,6,10,66,1,0
Urgent,Feature Request,Phone,9,0.77,6.08,3,30,38,0,0
Low,Subscription Cancellation,Phone,4,47.52,165.31,1,36,36,1,0
Low,Data Loss,Phone,4,38.98,166.34,4,4,38,1,0
Low,Account Suspension,Phone,1,26.95,190.3,2,30,54,1,0
High,Payment Problem,Chat,7,7.99,27.4,2,61,25,1,1
Medium,Performance Issue,Email,6,26.71,97.75,2,32,34,1,0
High,Billing Dispute,Email,8,9.0,41.46,1,45,45,1,1
Low,Performance Issue,Portal,1,65.98,282.14,3,31,38,1,0
Low,Account Suspension,Portal,1,47.71,240.7,6,56,61,1,0
Medium,Account Suspension,Portal,2,8.88,36.39,4,42,60,0,0
Urgent,Feature Request,Email,7,0.3,5.89,4,13,25,0,0
Urgent,Security Breach,Chat,8,0.77,4.57,2,53,28,0,0
Low,Subscription Cancellation,Chat,1,46.7,288.7,1,54,30,1,0
Medium,Subscription Cancellation,Phone,4,29.03,114.25,1,43,32,1,0
Urgent,Login Issue,Chat,6,0.83,4.91,0,24,45,0,0
Medium,Subscription Cancellation,Phone,4,18.99,105.17,5,23,19,1,0
Urgent,Performance Issue,Chat,9,2.37,19.83,5,19,38,1,1
Low,Subscription Cancellation,Email,4,32.02,187.65,2,39,38,1,0
Urgent,Billing Dispute,Email,6,0.28,5.65,1,21,44,0,0
High,Subscription Cancellation,Email,5,1.65,16.09,2,47,65,0,0
Urgent,Payment Problem,Chat,8,0.3,5.21,1,10,67,0,0
High,Login Issue,Email,5,2.16,21.76,1,59,32,0,0
Medium,Performance Issue,Email,3,32.98,61.31,5,41,45,1,0
Urgent,Account Suspension,Chat,6,1.24,14.58,6,63,50,1,1
Medium,Feature Request,Portal,2,5.67,15.21,1,35,24,0,0
Medium,Data Loss,Phone,3,17.94,73.5,0,16,49,1,0
High,Feature Request,Email,8,2.18,17.73,1,34,61,0,0
High,Security Breach,Email,7,2.7,19.37,3,34,20,0,0
Urgent,Data Loss,Email,10,0.84,6.84,0,44,20,0,0
Low,Billing Dispute,Portal,1,27.47,144.87,2,6,33,1,0
High,Integration Failure,Chat,5,8.72,32.6,1,21,38,1,0
High,Login Issue,Email,6,2.87,13.46,2,71,26,0,0
Low,Account Suspension,Phone,2,7.23,65.74,3,56,20,0,0
Medium,Feature Request,Chat,3,10.84,22.32,0,25,47,0,0
Medium,Subscription Cancellation,Portal,5,15.05,115.75,4,52,69,1,0
Medium,Login Issue,Email,3,5.28,31.06,3,51,25,0,0
Urgent,Subscription Cancellation,Chat,8,0.38,5.82,1,58,65,0,0
High,Login Issue,Chat,4,1.0,18.89,1,62,46,0,0
High,Login Issue,Portal,8,2.9,15.68,2,48,55,0,0
Urgent,Security Breach,Portal,7,0.58,6.73,4,29,31,0,0
Medium,Payment Problem,Chat,5,6.24,45.13,3,52,40,0,0
Urgent,Billing Dispute,Email,9,1.48,13.19,1,68,55,1,1
Medium,Subscription Cancellation,Chat,2,6.39,34.48,2,44,45,0,0
Urgent,Subscription Cancellation,Portal,6,0.88,4.05,0,43,45,0,0
Low,Subscription Cancellation,Chat,4,42.6,143.59,0,41,68,1,0
Urgent,Security Breach,Phone,7,0.58,2.54,2,28,61,0,0
Low,Feature Request,Chat,1,68.75,171.07,4,21,46,1,0
Medium,Performance Issue,Chat,6,28.96,63.71,4,2,33,1,0
High,Subscription Cancellation,Chat,6,4.72,50.67,4,54,39,1,0
Medium,Feature Request,Phone,6,20.78,83.94,3,16,19,1,0
High,Payment Problem,Portal,6,11.82,44.55,4,38,58,1,0
Medium,Subscription Cancellation,Chat,3,32.93,58.3,5,44,26,1,0
High,Billing Dispute,Chat,7,3.45,7.5,2,6,21,0,0
Low,Account Suspension,Email,3,68.99,205.1,1,17,40,1,0
Low,Integration Failure,Email,2,55.29,174.96,3,52,41,1,0
Medium,Subscription Cancellation,Portal,2,9.42,33.81,0,6,20,0,0
Medium,Performance Issue,Email,6,8.28,30.36,0,4,29,0,0
Low,Account Suspension,Phone,2,50.49,271.18,1,68,46,1,0
Medium,Billing Dispute,Phone,6,7.08,40.56,0,53,62,0,0
Medium,Security Breach,Phone,2,13.5,88.9,1,51,69,1,0
Low,Integration Failure,Portal,2,36.97,284.34,3,69,39,1,0
High,Security Breach,Chat,7,0.89,21.75,1,36,36,0,0
Urgent,Performance Issue,Portal,9,0.54,3.67,0,3,33,0,0
Low,Integration Failure,Email,1,59.29,296.22,5,56,61,1,0
High,Performance Issue,Chat,4,11.53,59.53,5,12,44,1,0
High,Security Breach,Phone,5,0.84,8.21,0,23,31,0,0
Medium,Billing Dispute,Email,2,6.82,14.47,1,59,46,0,0
High,Integration Failure,Phone,6,9.72,28.37,3,61,20,1,0
Medium,Data Loss,Phone,2,28.41,76.3,0,16,47,1,0
Medium,Feature Request,Phone,5,9.18,39.61,2,50,61,0,0
Low,Billing Dispute,Email,4,64.94,216.77,1,36,50,1,0
High,Integration Failure,Phone,5,11.35,36.35,2,66,43,1,0
High,Performance Issue,Email,7,1.34,8.06,0,63,20,0,0
Low,Performance Issue,Phone,2,69.95,198.5,4,58,47,1,0
Medium,Payment Problem,Chat,4,31.57,55.23,3,52,33,1,0
Urgent,Billing Dispute,Chat,8,0.87,3.3,5,34,22,0,0
Medium,Performance Issue,Chat,5,5.49,41.82,3,43,64,0,0
Medium,Login Issue,Email,5,35.97,103.98,3,7,48,1,0
Urgent,Feature Request,Email,8,0.21,7.58,1,23,53,0,0
High,Security Breach,Email,8,11.02,56.45,4,60,69,1,1
High,Account Suspension,Chat,5,2.84,20.55,6,70,60,0,0
High,Payment Problem,Phone,7,5.45,32.27,2,65,43,1,1
Urgent,Performance Issue,Email,7,0.82,5.77,5,18,59,0,0
Medium,Login Issue,Email,2,31.29,93.16,1,64,64,1,0
Medium,Payment Problem,Chat,3,7.26,43.04,4,28,47,0,0
Medium,Login Issue,Phone,4,8.1,38.77,4,7,44,0,0
Urgent,Payment Problem,Email,8,0.3,6.43,2,1,30,0,0
High,Performance Issue,Email,6,7.88,37.31,2,34,28,1,0
Low,Login Issue,Email,1,28.21,152.9,2,52,43,1,0
Urgent,Integration Failure,Chat,7,2.2,12.93,1,68,62,1,1
Medium,Billing Dispute,Email,6,23.5,66.81,2,32,55,1,0
Low,Account Suspension,Chat,2,30.3,254.25,1,43,50,1,0
Medium,Security Breach,Phone,2,22.59,83.67,7,20,46,1,0
Medium,Account Suspension,Chat,3,6.34,21.65,2,9,39,0,0
Urgent,Security Breach,Email,9,0.75,5.82,3,70,44,0,0
Low,Data Loss,Chat,4,28.84,143.61,2,58,50,1,0
Urgent,Feature Request,Chat,10,0.66,7.17,5,41,59,0,0
High,Data Loss,Portal,6,2.34,16.22,4,21,58,0,0
Low,Subscription Cancellation,Email,4,38.94,209.45,1,65,33,1,0
Urgent,Performance Issue,Phone,6,0.76,3.7,5,44,33,0,0
Medium,Integration Failure,Phone,4,26.04,89.62,4,36,25,1,0
Medium,Billing Dispute,Email,4,7.08,23.36,3,18,67,0,0
Medium,Integration Failure,Portal,6,34.91,79.31,1,44,57,1,0
Urgent,Account Suspension,Chat,7,0.81,7.02,2,9,21,0,0
Medium,Security Breach,Phone,2,4.26,20.46,4,9,54,0,0
Low,Data Loss,Email,2,11.78,63.15,3,69,61,0,0
Low,Integration Failure,Email,3,56.63,242.18,1,58,27,1,0
Medium,Data Loss,Chat,5,25.74,101.5,3,35,49,1,0
High,Feature Request,Email,4,2.09,8.99,6,36,67,0,0
Medium,Feature Request,Chat,4,11.23,43.61,3,62,24,0,0
Low,Security Breach,Chat,2,33.97,136.55,2,49,59,1,0
Low,Subscription Cancellation,Chat,4,10.89,41.22,0,50,34,0,0
Medium,Integration Failure,Chat,2,22.23,104.01,7,53,33,1,0
Urgent,Billing Dispute,Email,6,1.23,17.44,2,21,52,1,1
Medium,Data Loss,Chat,6,23.87,97.56,3,23,28,1,0
Urgent,Data Loss,Chat,7,0.59,5.11,3,11,58,0,0
Medium,Feature Request,Email,4,4.78,23.41,2,40,27,0,0
Low,Performance Issue,Email,3,70.26,273.12,4,7,45,1,0
Urgent,Security Breach,Email,8,0.6,6.03,2,52,61,0,0
Medium,Data Loss,Email,3,26.46,117.85,1,48,34,1,0
High,Feature Request,Portal,4,11.19,41.67,4,51,57,1,0
Urgent,Feature Request,Chat,6,0.41,4.85,4,21,63,0,0
Low,Login Issue,Email,3,55.32,264.95,1,7,55,1,0
Low,Data Loss,Email,1,46.89,298.83,2,21,33,1,0
High,Login Issue,Email,6,1.91,21.18,1,63,38,0,0
Medium,Billing Dispute,Chat,6,21.8,72.79,3,23,55,1,0
Low,Billing Dispute,Email,2,27.5,292.21,2,49,61,1,0
Low,Feature Request,Chat,1,19.58,51.44,4,15,35,0,0
Low,Performance Issue,Chat,2,53.11,202.8,3,39,64,1,0
High,Performance Issue,Phone,8,11.49,56.2,5,57,67,1,1
Low,Login Issue,Email,1,20.02,60.45,4,45,21,0,0
Medium,Feature Request,Chat,6,11.26,25.39,3,56,64,0,0
High,Login Issue,Phone,6,4.66,59.82,6,29,56,1,0
Medium,Security Breach,Chat,5,8.24,28.47,3,16,22,0,0
Low,Login Issue,Phone,4,69.93,291.17,4,7,45,1,0
High,Subscription Cancellation,Phone,6,3.11,11.47,2,60,56,0,0
Low,Data Loss,Chat,1,40.87,216.14,7,21,54,1,0
High,Billing Dispute,Chat,8,1.14,13.17,2,30,37,0,0
Urgent,Payment Problem,Portal,9,2.37,15.12,1,2,27,1,1
Medium,Feature Request,Phone,3,8.33,42.43,1,14,27,0,0
Medium,Performance Issue,Portal,4,5.03,45.32,4,36,35,0,0
Medium,Integration Failure,Email,6,31.57,86.47,1,68,18,1,0
Medium,Data Loss,Chat,4,8.09,19.86,5,37,54,0,0
Urgent,Payment Problem,Portal,8,0.51,2.66,2,52,65,0,0
Urgent,Subscription Cancellation,Email,9,0.55,3.23,3,66,68,0,0
Medium,Integration Failure,Portal,3,18.85,102.96,1,6,48,1,0
High,Performance Issue,Email,7,8.49,46.37,3,39,62,1,1
Urgent,Subscription Cancellation,Portal,10,0.58,6.29,3,18,56,0,0
Urgent,Performance Issue,Chat,10,0.91,7.36,4,31,35,0,0
Medium,Performance Issue,Email,6,24.81,100.3,2,62,40,1,0
Medium,Feature Request,Portal,6,9.4,38.66,3,5,33,0,0
Medium,Integration Failure,Email,4,27.2,81.5,4,52,43,1,0
Urgent,Security Breach,Email,10,0.37,5.06,1,62,52,0,0
Low,Login Issue,Email,2,28.66,270.31,1,65,32,1,0
High,Login Issue,Phone,5,9.73,47.87,0,6,58,1,0
Medium,Data Loss,Portal,4,31.49,88.79,0,53,52,1,0
Medium,Performance Issue,Email,6,33.15,67.66,1,39,31,1,0
Medium,Data Loss,Chat,6,28.79,93.31,2,13,49,1,0
Urgent,Integration Failure,Email,8,0.53,3.91,2,68,61,0,0
Low,Performance Issue,Phone,2,48.86,231.16,2,36,62,1,0
High,Performance Issue,Email,4,10.18,41.99,5,10,58,1,0
Low,Payment Problem,Email,4,8.01,43.93,1,10,33,0,0
Low,Billing Dispute,Email,1,47.04,276.0,2,46,22,1,0
Medium,Login Issue,Chat,4,14.43,91.86,2,27,47,1,0
Medium,Integration Failure,Portal,5,15.6,113.48,2,52,33,1,0
Medium,Subscription Cancellation,Chat,4,4.48,43.32,3,15,67,0,0
Medium,Subscription Cancellation,Email,4,8.07,30.55,2,35,53,0,0
Low,Security Breach,Chat,2,68.36,245.91,6,68,20,1,0
Medium,Account Suspension,Phone,3,5.68,42.34,2,12,49,0,0
Urgent,Integration Failure,Email,8,0.58,5.94,1,41,18,0,0
Urgent,Account Suspension,Email,8,0.63,3.67,0,23,37,0,0
Medium,Payment Problem,Email,6,19.69,70.17,0,42,50,1,0
High,Subscription Cancellation,Phone,8,2.87,13.73,1,56,66,0,0
Urgent,Integration Failure,Chat,6,0.36,2.6,2,28,48,0,0
Low,Performance Issue,Chat,3,35.03,194.32,3,68,37,1,0
Urgent,Billing Dispute,Email,10,0.35,3.15,1,70,24,0,0
Urgent,Feature Request,Email,10,0.56,6.7,1,17,38,0,0
Low,Billing Dispute,Portal,2,37.81,263.41,4,54,57,1,0
Low,Security Breach,Email,4,46.15,161.42,1,71,24,1,0
Urgent,Subscription Cancellation,Portal,8,0.48,3.88,4,67,56,0,0
Medium,Data Loss,Chat,2,32.15,91.1,0,19,46,1,0
Low,Data Loss,Email,3,8.74,55.45,1,47,35,0,0
Medium,Feature Request,Chat,3,5.15,16.13,6,30,32,0,0
Medium,Subscription Cancellation,Portal,2,34.91,104.23,6,38,69,1,0
High,Integration Failure,Chat,4,1.53,8.62,4,51,40,0,0
High,Performance Issue,Portal,8,10.46,49.17,2,32,36,1,1
Urgent,Security Breach,Email,8,0.31,3.18,3,69,68,0,0
Medium,Data Loss,Chat,5,26.58,53.32,1,50,64,1,0
Medium,Feature Request,Phone,6,15.3,90.6,2,21,32,1,0
Medium,Billing Dispute,Portal,3,22.55,71.93,1,18,35,1,0
Medium,Performance Issue,Chat,5,34.99,61.54,2,51,24,1,0
Low,Data Loss,Chat,3,55.7,247.08,2,65,63,1,0
Urgent,Billing Dispute,Email,10,1.49,16.01,0,13,52,1,1
Urgent,Integration Failure,Email,8,0.81,4.54,4,36,35,0,0
Medium,Billing Dispute,Email,2,8.29,17.16,3,62,55,0,0
High,Performance Issue,Email,8,11.45,42.05,4,58,68,1,1
Low,Billing Dispute,Email,4,8.92,44.12,1,58,33,0,0
Medium,Integration Failure,Email,3,15.96,119.62,2,1,42,1,0
High,Security Breach,Portal,6,2.7,10.86,2,11,60,0,0
Medium,Performance Issue,Phone,3,10.62,14.5,4,49,44,0,0
Urgent,Security Breach,Chat,6,2.58,11.26,4,27,40,1,1
High,Feature Request,Portal,6,2.03,16.87,3,56,35,0,0
Medium,Subscription Cancellation,Email,4,23.04,118.42,4,29,30,1,0
High,Billing Dispute,Chat,4,6.93,44.05,8,39,20,1,0
Low,Payment Problem,Chat,3,21.31,70.72,2,61,46,0,0
Medium,Security Breach,Email,3,31.71,119.48,4,44,28,1,0
Medium,Integration Failure,Phone,6,4.81,19.55,3,32,47,0,0
Medium,Data Loss,Email,2,20.51,66.09,0,12,19,1,0
High,Security Breach,Email,6,3.02,13.14,3,66,63,0,0
Medium,Data Loss,Email,5,6.22,37.72,3,48,41,0,0
High,Billing Dispute,Portal,5,2.63,11.92,0,66,55,0,0
High,Feature Request,Phone,4,1.27,14.53,2,19,22,0,0
Medium,Login Issue,Phone,5,9.84,43.71,2,54,43,0,0
Urgent,Performance Issue,Chat,10,0.62,6.94,1,36,30,0,0
Low,Data Loss,Email,4,64.05,291.1,2,70,35,1,0
Low,Data Loss,Chat,4,59.0,160.02,2,15,33,1,0
Medium,Performance Issue,Chat,2,22.98,85.2,5,6,45,1,0
Medium,Login Issue,Email,4,28.72,100.72,3,43,31,1,0
Low,Billing Dispute,Phone,2,29.13,255.13,3,2,19,1,0
High,Integration Failure,Email,8,7.71,44.88,3,57,60,1,1
Medium,Subscription Cancellation,Email,4,23.14,107.95,2,40,23,1,0
Medium,Data Loss,Phone,4,22.79,55.67,2,13,22,1,0
Urgent,Login Issue,Phone,9,0.29,3.42,0,60,32,0,0
High,Login Issue,Chat,7,8.1,37.42,3,56,35,1,1
Urgent,Feature Request,Chat,9,2.55,16.96,1,42,50,1,1
Low,Data Loss,Chat,1,10.61,106.34,2,54,52,0,0
High,Security Breach,Phone,8,10.62,44.17,2,14,42,1,1
Urgent,Billing Dispute,Phone,6,0.64,6.08,4,46,57,0,0
High,Integration Failure,Chat,7,2.97,16.47,3,3,43,0,0
High,Login Issue,Portal,6,3.49,21.62,1,57,39,0,0
Medium,Feature Request,Portal,6,24.19,113.29,5,27,53,1,0
Low,Feature Request,Chat,4,64.93,267.73,3,69,28,1,0
Medium,Performance Issue,Phone,4,16.4,71.59,1,53,28,1,0
Medium,Data Loss,Chat,6,30.95,77.87,3,27,63,1,0
Urgent,Login Issue,Chat,8,0.83,4.57,1,37,67,0,0
Low,Integration Failure,Email,4,67.6,132.73,2,6,56,1,0
Urgent,Security Breach,Chat,7,0.26,3.6,2,66,38,0,0
Urgent,Payment Problem,Portal,6,0.29,6.11,3,40,62,0,0
Low,Payment Problem,Phone,3,27.43,223.46,3,51,42,1,0
Medium,Security Breach,Phone,2,6.95,44.28,3,36,65,0,0
Urgent,Login Issue,Email,6,1.47,9.13,1,30,69,1,1
Urgent,Data Loss,Chat,7,2.18,13.04,2,2,68,1,1
Medium,Integration Failure,Email,5,33.54,100.33,1,28,43,1,0
Medium,Performance Issue,Email,3,5.34,18.57,7,68,45,0,0
Medium,Data Loss,Chat,3,13.32,86.37,1,60,30,1,0
High,Subscription Cancellation,Chat,7,3.47,7.45,2,51,40,0,0
Medium,Data Loss,Chat,4,8.0,20.02,2,21,35,0,0
High,Data Loss,Chat,8,5.93,57.92,4,41,49,1,1
Low,Billing Dispute,Email,2,57.97,232.69,2,60,42,1,0
Low,Login Issue,Email,2,55.26,259.55,0,54,48,1,0
Medium,Performance Issue,Portal,5,5.82,17.59,4,44,29,0,0
Medium,Billing Dispute,Email,5,4.31,21.72,3,43,22,0,0
Medium,Login Issue,Email,2,11.33,20.39,1,49,30,0,0
Medium,Account Suspension,Phone,3,27.86,71.26,2,3,42,1,0
Medium,Performance Issue,Portal,3,2.42,22.46,4,44,56,0,0
Low,Login Issue,Phone,1,32.13,226.67,1,39,26,1,0
Medium,Payment Problem,Email,3,4.63,36.42,3,64,68,0,0
Urgent,Billing Dispute,Email,8,0.81,5.25,2,71,58,0,0
Medium,Account Suspension,Portal,5,24.02,72.9,4,44,56,1,0
Medium,Performance Issue,Phone,3,2.94,36.08,2,42,55,0,0
High,Subscription Cancellation,Chat,4,6.41,44.94,3,28,21,1,0
Urgent,Integration Failure,Email,7,0.94,5.72,2,56,43,0,0
Low,Subscription Cancellation,Email,4,61.41,167.54,3,50,33,1,0
High,Payment Problem,Email,5,0.81,22.17,2,27,44,0,0
High,Payment Problem,Chat,7,3.32,12.31,2,3,57,0,0
High,Security Breach,Email,5,1.38,12.97,1,61,21,0,0
Low,Security Breach,Portal,3,41.48,222.81,3,17,46,1,0
High,Subscription Cancellation,Email,4,1.16,7.98,6,57,25,0,0
Low,Billing Dispute,Phone,4,4.99,50.91,1,45,35,0,0
High,Data Loss,Email,7,8.23,53.71,4,36,50,1,1
High,Login Issue,Chat,5,1.66,19.58,2,30,60,0,0
Low,Integration Failure,Email,3,42.82,155.83,4,24,48,1,0
Urgent,Account Suspension,Phone,9,0.33,5.47,1,2,57,0,0
Low,Integration Failure,Chat,4,63.17,143.13,1,48,41,1,0
Urgent,Payment Problem,Email,7,0.33,2.79,0,7,56,0,0
Medium,Security Breach,Phone,5,24.99,106.53,1,63,69,1,0
Low,Data Loss,Chat,1,13.25,72.7,2,54,55,0,0
Low,Feature Request,Portal,1,21.36,108.27,1,68,53,0,0
Urgent,Performance Issue,Portal,8,2.98,14.15,6,53,21,1,1
Low,Feature Request,Portal,3,67.7,267.57,4,66,49,1,0
Low,Feature Request,Email,1,59.85,239.31,1,38,49,1,0
Medium,Billing Dispute,Email,3,6.28,27.83,2,30,42,0,0
High,Billing Dispute,Portal,8,1.19,15.86,3,4,59,0,0
Medium,Security Breach,Chat,3,33.03,115.58,2,20,65,1,0
Low,Feature Request,Email,4,17.69,41.92,3,58,37,0,0
Medium,Account Suspension,Phone,5,16.2,88.38,1,37,41,1,0
Low,Payment Problem,Email,3,30.41,140.71,3,13,59,1,0
Low,Feature Request,Phone,1,57.15,225.31,2,4,64,1,0
Medium,Data Loss,Phone,3,33.85,93.59,1,22,61,1,0
High,Performance Issue,Phone,6,1.44,19.8,3,37,38,0,0
Low,Login Issue,Email,4,12.22,98.26,1,14,33,0,0
Medium,Security Breach,Chat,5,35.19,53.48,5,10,46,1,0
Medium,Security Breach,Chat,5,34.77,57.58,0,24,28,1,0
Urgent,Subscription Cancellation,Chat,7,0.72,5.96,2,31,26,0,0
Urgent,Data Loss,Email,9,0.56,3.35,2,29,34,0,0
Urgent,Billing Dispute,Chat,9,1.81,14.72,3,57,55,1,1
Low,Payment Problem,Chat,3,11.84,54.07,2,59,25,0,0
Low,Account Suspension,Chat,4,49.42,272.21,5,2,67,1,0
Medium,Data Loss,Phone,5,28.88,98.56,4,25,18,1,0
Medium,Integration Failure,Chat,4,24.85,82.07,1,22,61,1,0
Medium,Login Issue,Email,3,4.47,21.41,3,1,21,0,0
High,Performance Issue,Phone,6,3.06,17.49,0,8,65,0,0
Urgent,Subscription Cancellation,Phone,9,0.54,4.23,4,41,36,0,0
Urgent,Data Loss,Email,8,2.19,15.4,3,66,29,1,1
Medium,Subscription Cancellation,Chat,5,30.89,97.7,4,9,51,1,0
High,Login Issue,Email,4,1.95,9.35,3,53,25,0,0
Medium,Feature Request,Email,6,10.77,15.94,1,28,65,0,0
Low,Subscription Cancellation,Portal,1,49.66,214.88,4,7,39,1,0
High,Security Breach,Portal,7,9.75,31.72,6,63,41,1,1
Low,Billing Dispute,Chat,1,60.83,147.06,3,32,26,1,0
Medium,Feature Request,Phone,5,21.5,58.78,1,1,69,1,0
Medium,Data Loss,Portal,5,19.09,99.98,2,23,43,1,0
High,Performance Issue,Portal,6,11.42,56.82,4,11,29,1,0
High,Security Breach,Chat,4,1.74,21.74,2,55,39,0,0
Medium,Login Issue,Chat,3,3.39,43.6,6,24,31,0,0
Urgent,Feature Request,Chat,7,0.57,5.89,2,57,25,0,0
Medium,Security Breach,Email,2,32.0,115.02,4,69,45,1,0
Medium,Billing Dispute,Chat,2,19.63,61.66,2,62,26,1,0
High,Feature Request,Phone,7,2.28,16.58,3,70,56,0,0
High,Payment Problem,Phone,4,1.88,19.06,3,58,56,0,0
Urgent,Payment Problem,Portal,10,1.15,19.36,3,12,18,1,1
Low,Feature Request,Email,1,32.67,187.16,2,71,51,1,0
High,Feature Request,Chat,6,3.19,16.32,3,5,43,0,0
High,Payment Problem,Email,6,3.6,13.5,1,66,22,0,0
Urgent,Data Loss,Email,10,0.2,5.2,4,5,40,0,0
Low,Subscription Cancellation,Portal,3,65.67,216.6,5,44,58,1,0
High,Performance Issue,Chat,5,9.9,54.95,6,5,27,1,0
High,Security Breach,Phone,5,2.85,20.06,6,67,60,0,0
Medium,Security Breach,Email,6,23.0,79.34,1,19,24,1,0
Medium,Login Issue,Chat,4,20.76,71.68,3,2,50,1,0
Medium,Performance Issue,Phone,4,22.56,109.98,6,2,27,1,0
High,Account Suspension,Email,8,2.6,22.09,4,34,27,0,0
Urgent,Payment Problem,Email,9,0.91,2.5,4,5,23,0,0
High,Account Suspension,Email,7,1.42,15.02,2,62,49,0,0
High,Billing Dispute,Phone,6,11.8,52.32,0,10,19,1,0
Medium,Performance Issue,Portal,3,4.5,45.16,3,2,63,0,0
Low,Integration Failure,Phone,1,20.02,77.38,2,50,31,0,0
Low,Login Issue,Portal,2,16.68,92.08,1,6,26,0,0
Medium,Feature Request,Phone,4,9.11,43.52,5,32,35,0,0
Medium,Billing Dispute,Portal,2,32.16,78.01,0,4,28,1,0
Low,Subscription Cancellation,Chat,1,5.01,105.02,2,23,34,0,0
Medium,Integration Failure,Chat,5,8.92,22.7,3,5,44,0,0
Medium,Performance Issue,Chat,6,35.9,101.55,2,10,22,1,0
Medium,Performance Issue,Phone,5,6.85,44.22,2,14,53,0,0
Medium,Account Suspension,Email,4,7.28,34.63,2,69,51,0,0
Low,Data Loss,Email,2,31.23,195.2,0,69,44,1,0
Urgent,Account Suspension,Portal,10,1.75,9.67,5,41,35,1,1
Urgent,Security Breach,Email,7,0.66,3.44,2,58,58,0,0
High,Account Suspension,Portal,4,5.31,50.9,0,54,18,1,0
Low,Data Loss,Phone,2,41.6,298.27,3,46,33,1,0
High,Subscription Cancellation,Email,5,1.84,20.46,3,53,62,0,0
Urgent,Billing Dispute,Phone,10,2.64,17.66,2,34,56,1,1
High,Payment Problem,Phone,6,2.41,7.49,2,35,67,0,0
Low,Performance Issue,Email,2,14.78,93.23,2,28,36,0,0
High,Feature Request,Phone,7,6.55,54.21,1,20,61,1,1
Urgent,Account Suspension,Phone,9,0.44,4.09,1,69,50,0,0
High,Integration Failure,Email,8,7.83,59.99,6,56,47,1,1
High,Subscription Cancellation,Email,6,10.61,27.6,4,56,44,1,0
Medium,Login Issue,Email,5,20.43,79.08,4,69,49,1,0
Medium,Performance Issue,Email,5,20.53,67.09,2,35,46,1,0
Low,Data Loss,Email,3,15.04,111.86,1,8,25,0,0
High,Security Breach,Phone,4,3.32,17.68,4,33,61,0,0
Low,Data Loss,Chat,1,49.38,202.01,4,30,59,1,0
Medium,Account Suspension,Portal,5,3.56,44.75,3,33,52,0,0
Medium,Billing Dispute,Email,5,10.64,16.32,1,62,52,0,0
Medium,Security Breach,Chat,3,6.64,21.25,4,60,31,0,0
Low,Integration Failure,Chat,2,61.69,202.99,3,23,54,1,0
High,Data Loss,Portal,7,4.73,30.58,4,56,55,1,1
High,Integration Failure,Chat,4,3.31,22.75,2,43,57,0,0
Low,Login Issue,Chat,4,29.06,228.33,4,11,57,1,0
Low,Integration Failure,Portal,2,70.52,159.24,2,20,55,1,0
Low,Performance Issue,Email,1,67.0,173.75,0,71,49,1,0
Urgent,Subscription Cancellation,Email,7,1.61,13.24,1,70,66,1,1
Medium,Security Breach,Chat,4,4.41,37.06,1,61,27,0,0
Medium,Performance Issue,Phone,6,31.06,73.24,1,33,69,1,0
Low,Feature Request,Email,1,33.31,182.05,3,8,46,1,0
High,Data Loss,Chat,5,3.4,16.96,3,61,48,0,0
Urgent,Data Loss,Chat,9,0.22,2.64,2,22,61,0,0
Urgent,Feature Request,Portal,7,0.69,6.1,3,56,25,0,0
High,Integration Failure,Email,6,6.38,44.8,4,48,40,1,0
Low,Performance Issue,Email,2,64.82,204.91,1,21,23,1,0
Low,Security Breach,Chat,4,43.59,198.02,4,21,64,1,0
Low,Security Breach,Chat,1,12.59,53.24,2,61,38,0,0
Medium,Feature Request,Phone,2,3.71,21.9,3,54,22,0,0
Low,Data Loss,Chat,2,54.96,215.97,2,59,54,1,0
Medium,Feature Request,Phone,6,23.93,66.12,3,6,22,1,0
Medium,Login Issue,Phone,6,13.4,90.95,2,25,23,1,0
Urgent,Login Issue,Portal,8,0.75,5.78,5,32,22,0,0
High,Login Issue,Chat,4,1.18,14.34,3,61,18,0,0
Urgent,Payment Problem,Portal,8,2.1,10.0,3,35,68,1,1
High,Subscription Cancellation,Email,5,2.42,21.83,0,62,66,0,0
Low,Billing Dispute,Phone,3,40.05,271.99,7,25,44,1,0
High,Account Suspension,Chat,5,1.49,22.08,3,49,29,0,0
Medium,Payment Problem,Phone,2,20.3,77.54,1,8,65,1,0
